@RELATION monthly

@ATTRIBUTE monthly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,56.3,61.48,55.69,60.71,49.9799,425852600,0.0,"2014-03-31"
JPM,60.95,61.29,54.35,55.98,46.3755,408990800,0.38,"2014-04-30"
JPM,55.92,56.37,52.97,55.57,46.0358,315091600,0.0,"2014-05-30"
JPM,55.65,58.22,55.02,57.62,47.7341,263682000,0.0,"2014-06-30"
JPM,57.15,59.35,54.96,57.67,48.1075,317245600,0.4,"2014-07-31"
JPM,57.39,59.95,55.6,59.45,49.5923,241549600,0.0,"2014-08-29"
JPM,59.46,61.85,58.78,60.24,50.2513,264080857,0.0,"2014-09-30"
JPM,60.24,60.8,54.26,60.48,50.7945,415457461,0.4,"2014-10-31"
JPM,60.79,61.93,59.42,60.16,50.5258,211504985,0.0,"2014-11-28"
JPM,59.98,63.49,58.11,62.58,52.5582,347635705,0.0,"2014-12-31"
JPM,62.62,62.96,54.37,54.38,45.9637,467828967,0.4,"2015-01-30"
JPM,54.53,61.92,54.27,61.28,51.7958,318999226,0.0,"2015-02-27"
JPM,61.24,62.87,58.87,60.58,51.2042,332482016,0.0,"2015-03-31"
JPM,60.41,64.48,59.65,63.26,53.8261,324991804,0.4,"2015-04-30"
JPM,63.7,67.1899,63.25,65.78,55.9703,267750926,0.0,"2015-05-29"
JPM,65.99,69.82,65.58,67.76,57.6551,337217192,0.0,"2015-06-30"
JPM,68.12,70.61,65.205,68.53,58.6872,325398488,0.44,"2015-07-31"
JPM,68.59,69.42,50.07,64.1,54.8934,373049156,0.0,"2015-08-31"
JPM,62.75,64.64,58.73,60.97,52.213,353281723,0.0,"2015-09-30"
JPM,61.12,65.83,58.53,64.25,55.42,332522900,0.44,"2015-10-30"
JPM,64.45,69.03,64.39,66.68,57.516,247999672,0.0,"2015-11-30"
JPM,67.34,68.0,63.5102,66.03,56.9554,316497652,0.0,"2015-12-31"
JPM,63.95,64.13,54.66,59.5,51.6778,469707929,0.44,"2016-01-29"
JPM,59.16,59.65,52.5,56.3,48.8984,477854943,0.0,"2016-02-29"
JPM,56.76,60.97,56.67,59.22,51.4346,356781931,0.0,"2016-03-31"
JPM,59.02,64.66,57.065,63.2,55.2993,344712724,0.44,"2016-04-29"
JPM,63.69,66.2,60.59,65.27,57.1105,283951915,0.0,"2016-05-31"
JPM,64.76,65.92,57.05,62.14,54.3718,395361813,0.0,"2016-06-30"
JPM,61.52,64.98,58.76,63.97,56.4116,283935736,0.48,"2016-07-29"
JPM,64.15,67.77,63.38,67.5,59.5245,250230505,0.0,"2016-08-31"
JPM,67.64,67.9,65.11,66.59,58.7221,316595543,0.0,"2016-09-30"
JPM,66.35,69.77,66.1,69.26,61.5168,304104835,0.48,"2016-10-31"
