@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,44.62,54.0,43.19,48.94,27.1056,71731900,1.0,"2001-01-05"
JPM,49.0,54.25,47.88,53.31,29.5259,53104900,0.0,"2001-01-12"
JPM,53.5,54.69,49.81,50.56,28.0028,45180500,0.0,"2001-01-19"
JPM,50.56,54.5,50.06,54.19,30.0133,45007500,0.0,"2001-01-26"
JPM,54.19,57.33,53.51,54.64,30.2625,48327300,0.0,"2001-02-02"
JPM,54.51,54.95,51.05,51.95,28.7727,32044000,0.0,"2001-02-09"
JPM,52.47,53.7,50.25,51.99,28.7948,34189300,0.0,"2001-02-16"
JPM,51.99,52.6,45.39,47.05,26.0588,41026500,0.0,"2001-02-23"
JPM,48.0,49.78,44.78,45.8,25.3665,49149900,0.0,"2001-03-02"
JPM,45.9,51.19,45.3,48.95,27.1111,33571300,0.0,"2001-03-09"
JPM,47.5,47.85,43.39,44.58,24.6908,51121000,0.0,"2001-03-16"
JPM,44.4,45.46,37.58,41.71,23.1012,58413400,0.0,"2001-03-23"
JPM,42.15,45.0,41.1,44.9,24.868,43040400,0.0,"2001-03-30"
JPM,44.5,45.4,38.54,39.7,22.1758,47861900,0.34,"2001-04-06"
JPM,40.87,45.02,39.22,44.6,24.9129,31987400,0.0,"2001-04-12"
JPM,45.59,49.26,44.01,46.98,26.2423,46789000,0.0,"2001-04-20"
JPM,47.38,49.22,45.23,49.0,27.3706,32778700,0.0,"2001-04-27"
JPM,49.54,49.74,46.74,49.74,27.784,38259100,0.0,"2001-05-04"
JPM,49.09,49.09,45.56,45.65,25.4994,36896400,0.0,"2001-05-11"
JPM,46.96,47.97,45.56,47.34,26.4434,34013900,0.0,"2001-05-18"
JPM,48.66,49.9,46.89,47.87,26.7394,31220700,0.0,"2001-05-25"
JPM,48.61,49.05,47.03,48.06,26.8456,22676200,0.0,"2001-06-01"
JPM,48.66,49.06,43.05,43.45,24.2705,43045700,0.0,"2001-06-08"
JPM,44.0,44.27,41.77,44.13,24.6503,44576500,0.0,"2001-06-15"
JPM,44.13,46.42,43.1,45.12,25.2033,34947800,0.0,"2001-06-22"
JPM,45.56,45.56,43.25,43.71,24.4157,29143100,0.0,"2001-06-29"
JPM,45.12,45.56,43.34,44.08,24.8076,17602500,0.34,"2001-07-06"
JPM,43.97,43.97,40.31,42.14,23.7158,34495100,0.0,"2001-07-13"
JPM,42.57,43.82,40.21,42.98,24.1885,36163500,0.0,"2001-07-20"
JPM,43.28,43.8,41.29,43.78,24.6387,28929900,0.0,"2001-07-27"
JPM,43.68,43.82,42.58,42.9,24.1435,34358600,0.0,"2001-08-03"
JPM,43.15,43.15,40.73,41.84,23.5469,25422600,0.0,"2001-08-10"
JPM,41.97,42.17,40.62,41.08,23.1192,24949800,0.0,"2001-08-17"
JPM,40.9,41.26,39.46,40.53,22.8097,34777300,0.0,"2001-08-24"
JPM,41.1,41.1,38.73,39.02,21.9599,30410500,0.0,"2001-08-31"
JPM,40.28,40.28,35.61,36.64,20.6205,36874700,0.0,"2001-09-07"
JPM,37.0,37.0,35.54,36.9,20.7668,9263700,0.0,"2001-09-10"
JPM,35.47,35.55,29.04,30.82,17.345,79126100,0.0,"2001-09-21"
JPM,32.38,34.67,31.29,33.82,19.0334,49803200,0.0,"2001-09-28"
JPM,34.29,35.28,33.06,33.41,18.987,55613100,0.34,"2001-10-05"
JPM,33.1,34.45,32.01,32.89,18.6915,42980500,0.0,"2001-10-12"
JPM,32.1,36.25,31.85,33.87,19.2485,45924800,0.0,"2001-10-19"
JPM,33.88,38.08,33.88,37.55,21.3398,37729000,0.0,"2001-10-26"
JPM,37.1,37.38,34.55,36.04,20.4817,37594800,0.0,"2001-11-02"
JPM,36.5,39.64,36.27,39.05,22.1923,36688200,0.0,"2001-11-09"
JPM,38.76,40.0,37.25,39.41,22.3969,29874500,0.0,"2001-11-16"
JPM,39.6,40.24,38.45,39.39,22.3855,18265100,0.0,"2001-11-23"
JPM,39.39,40.3,36.5,37.72,21.4364,51735700,0.0,"2001-11-30"
JPM,37.08,40.95,36.13,39.77,22.6015,45346700,0.0,"2001-12-07"
JPM,39.77,39.77,35.4,36.04,20.4817,42964100,0.0,"2001-12-14"
JPM,36.1,38.95,35.02,35.75,20.3169,64313600,0.0,"2001-12-21"
JPM,35.76,36.84,35.6,36.55,20.7715,21436300,0.0,"2001-12-28"
JPM,36.45,39.1,35.68,39.0,22.3712,35008400,0.34,"2002-01-04"
JPM,39.05,39.68,37.72,38.34,21.9926,37905900,0.0,"2002-01-11"
JPM,37.65,38.29,35.5,35.91,20.5987,53672000,0.0,"2002-01-18"
JPM,36.0,36.49,34.75,34.99,20.071,38148200,0.0,"2002-01-25"
JPM,35.23,35.23,30.4,32.16,18.4476,80367600,0.0,"2002-02-01"
JPM,32.17,32.35,28.3,31.12,17.8511,93553200,0.0,"2002-02-08"
JPM,31.22,32.19,29.3,30.05,17.2373,75062200,0.0,"2002-02-15"
JPM,29.3,30.15,26.7,28.19,16.1703,63174200,0.0,"2002-02-22"
JPM,27.8,29.75,27.75,29.66,17.0136,49251700,0.0,"2002-03-01"
JPM,30.25,34.98,30.0,34.74,19.9276,72280600,0.0,"2002-03-08"
